groupid;id;Anzahl_Vorhanden
;01f03e93ce647af843d27c0d606aca13eca79867;3.0
;01f0eb514108406cd4018d3d40648e42a9050f64;1.0
;01f0fc34bf24d32ff9153521b12ddca331203462;1.0
;01f10ae0117c6ddd34ea90f153cf1afa21ee3c75;1.0
;01f83200bc633d450e39887276e74a16fd064a94;20.0
;01f850569747a0b8880a21ae9113126d4c326732;1.0
;01fbafe56b419f080231f1ed529c5bcee71d4853;16.0
;01fc1bb008271efbde25ec54cea36dd1b8ee8fd0;18.0
;01fda172956d324a5b60abc3ab61f86678548716;11.0
;020191081b0d75a1dcdb97fd3557323aa660fb09;21.0
;020296b41f0ffced8d20837d6417415bb20e475a;1.0
;020b0c7997d0bbdb7763693ed47718b7da299b70;11.0
;020c6ae96c9a24e514f6ea6bf5ec92dd600bb5d6;1.0
;0216492ba59330b3f4457beb981e2e44b98d34eb;1.0
;0216b17502d23cc6873044e8e69e106eede0cd47;1.0
;0218c3e32065bf960b6e6f6259ff8d2031eff272;6.0
;021abae8540f5dbf03c1cd523bf0415e3bf5d3e6;24.0
;021cb2f88f451970b38a43023ef38ad78632240c;1.0
;021e9e9b87a1029110e4570ed19a2f1fd72328e7;1.0
;02235036476c7c51d5a4ca5dc670f0123232ebce;16.0
;022d67bc47744d8b490452fcf3be07fb749abb9c;2.0
;0231c74d3d1df1c2166e68219ec24165d4ae4cee;1.0
;0231c90ab39e8c886669bbd0c27ec9761ce74f4b;1.0
;0235a6a288143f8ec841da150657e566ff86c994;8.0
;024291d48d65c5a65d4f3b7cfff58badda31fde3;9.0
;0246b17985a9422d7022adfccb4be8f7c1a885e3;2.0
;02491ec10f14efc06c5e4b62db9a3b12cbc699e6;1.0
;024ea47ccaaa46670b96a822bd20ab4842e15a01;2.0
;02551c545a3ad5c344ee7fe3f5730314d5a9be97;21.0
;025752c5e411b64df9b56080883e457445b7b3fb;1.0
;025a4ce979b17d55dd8701b8f6cc8b8b5ebab9ee;1.0
;025bb88358b9954db1d210db144705baad81b941;1.0
;025f480f096a8971e0d21b65fc46a853206cc5c3;1.0
;0268ce0739a202f57d18eeef4e52c1cc6809b8dd;8.0
;026cc01c393e1691639b2f70010d8619eb447a1a;12.0
;02718a3885135e966b0e51d75a788bce7063483b;1.0
;02789191866fdbcdaced00f080d858d261ba92ae;1.0
;027af03c4f6dd3aca4d317032fd2c728b2e2bbf4;11.0
;027bd204540e0b595c620de3a01b4cb5941d7a55;2.0
;027e9c79728f155182d97511c52605fdf4423631;14.0
;0280ba7058bda7cbadd9df72a887e58f99b3b894;1.0
;0287ab3bad8f59ab3809e8938bd7cb7abf50f969;26.0
;0287c3f533a6ca69a25be21f265ca2fae08bb378;8.0
;02904274c5d40983ed9c2ae97e046eba1fcf05b0;21.0
;029298f276593d6f7e605de0c29af707da080a62;6.0
;0292c771beebad7d4a7e8bd3d07c06c396e290ba;25.0
;0296ef9ef1a9c3a56dd9e34b51f4d617e57ded18;6.0
;0298504cac65058a5c725a06a9a967a1d04018b2;2.0
;029bf6477094f8a02651d2ea729e89fa12b7d4d1;1.0
;02a1720af8a90b5bce3533d5d7a1328de92bf17a;1.0
;02abd4e750e48d044c66cf47dc2653810cb22c66;2.0
;02b03f7975ba16f5770a4336a24f52bbcfd739f0;1.0
;02b15e59d48e24ff675ccbef4da480add82dbe7a;4.0
;02ba2085ae88f1775f5e6e0cbc6761af0ac18326;1.0
;02ba49f5b53545cd1c49aadd4f94738ebe6afcdb;1.0
;02baa70c3280eb5da2c50f920b0443ebb308718d;4.0
;02c02a5efe7d6c8ef6e36852d891f6f0d8cd8896;1.0
;02c051746ff5b7b83e9a1417f2eea936987281b6;2.0
;02c2147faa200b1e11bc54224ce1587d3e4a73a4;1.0
;02c44d99d597d20db0ddb175752ef29af78e5bdb;2.0
;02c78ec84dfd81d2d029d8370c2a46bdbc32079e;7.0
;02c8bb0c5b4dbfeee7922644ad4bc0dba1d15714;3.0
;02cf54a8db41d8c04ecfd63d54557092711bfc4d;8.0
;02d365148dfa0f083328e807dc2c80a63d007345;1.0
